Author,Illustrator,Title,Language,LoC Class,Subject,Category,EBook-No.,Release Date,Copyright Status,Downloads,Price,Editor,LoC No.,Imprint,Summary,Contributor,Engraver,Translator,Alternate Title,Contents,Note,Commentator,Annotator,"Author of introduction, etc.",Edition,Creator,Series Title,Uniform Title
"Lang, Andrew, 1844-1912",,The Crimson Fairy Book,English,PZ: Language and Literatures: Juvenile belles lettres,Folklore,Text,2435,"Dec 1, 2000",Public domain in the USA.,222 downloads in the last 30 days.,$0.00,,,,,,,,,"Lovely Ilonka -- Lucky Luck -- The Hairy Man -- To your Good Health! -- The Story of the Seven Simons -- The Language of Beasts -- The Boy who could keep a Secret -- The Prince and the Dragon -- Little Wildrose -- Tiidu the Piper -- Paperarello -- The Gifts of the Magician -- The Strong Prince -- The Treasure Seeker -- The Cottager and his Cat -- The Prince who would seek Immortality -- The Stone-cutter -- The Gold-bearded Man -- Tritill, Litill, and the Birds -- The Three Robes -- The Six Hungry Beasts -- How the Beggar Boy turned into Count Piro -- The Rogue and the Herdsman -- Eisenkopf -- The Death of Abu Nowas and of his Wife -- Motikatika -- Niels and the Giants -- Shepherd Paul -- How the wicked Tanuki was punished -- The Crab and the Monkey -- The Horse Gullfaxi and the Sword Gunnfoder -- The Story of the Sham Prince, or the Ambitious Tailor -- The Colony of Cats -- How to find out a True Friend -- Clever Maria -- The Magic Kettle.",,,,,,,,
"Vredenburg, Edric, 1860-","Harbour, Jennie, 1893-1959",My Book of Favourite Fairy Tales,English,PZ: Language and Literatures: Juvenile belles lettres,Folklore,Text,15145,"Feb 22, 2005",Public domain in the USA.,209 downloads in the last 30 days.,$0.00,,,,,,,,,"The Old, Old Stories -- The Goose Girl -- Little Snow-White -- Cinderella -- Princess Goldenhair -- Little Red Riding Hood -- The White Fawn -- Hansel and Grethel -- Snow-White and Rose-Red -- The Sleeping Beauty -- Prince Chéri -- The White Cat -- Bluebeard -- Beauty and the Beast -- Tufty Riquet -- Thumbling.",,,,,,,,
"Holbrook, Florence, 1860-1932",,The Book of Nature Myths,English,PZ: Language and Literatures: Juvenile belles lettres,Nature -- Folklore,Text,22420,"Aug 27, 2007",Public domain in the USA.,181 downloads in the last 30 days.,$0.00,,02026750,,,,,,,,,,,,,,,
"Lang, Andrew, 1844-1912","Ford, H. J. (Henry Justice), 1860-1941",The Lilac Fairy Book,English,PZ: Language and Literatures: Juvenile belles lettres,Folklore,Text,28096,"Feb 16, 2009",Public domain in the USA.,150 downloads in the last 30 days.,$0.00,,10023653,,,,,,,The Shifty Lad -- The False Prince and the True -- The Jogi's Punishment -- The Heart of a Monkey -- The Fairy Nurse -- A Lost Paradise -- How Brave Walter Hunted Wolves -- The Ring of the Waterfalls -- A French Puck -- The Three Crowns -- The Story of a Very Bad Boy -- The Brown Bear of Norway -- Little Lasse -- 'Moti' -- The Enchanted Deer -- A Fish Story -- The Wonderful Tune -- The Rich Brother and the Poor Brother -- The One-Handed Girl -- The Bones of Djulung -- The Sea Ring's Gift -- The Raspberry Worm -- The Stones of Plouhinec -- The Castle of Kerglas -- The Battle of the Birds -- The Lady of the Fountain -- The Four Gifts -- The Groac'h of the Isle of Lok -- The Escape of the Mouse -- The Believing Husbands -- The Hoodie-Crow -- The Brownie of the Lake -- The Winning of Olwen.,,,,,,,,
"Baring-Gould, S. (Sabine), 1834-1924",,Curious Myths of the Middle Ages,English,"PN: Language and Literatures: Literature: General, Criticism, Collections",Legends -- History and criticism,Text,36127,"May 17, 2011",Public domain in the USA.,146 downloads in the last 30 days.,$0.00,,,,,,,,,The wandering Jew -- Prester John -- The divining rod -- The seven sleepers of Ephesus -- William Tell -- The dog Gellert -- Tailed men -- Antichrist and Pope Joan -- The man in the moon -- The mountain of Venus -- Fatality of numbers -- The terrestrial paradise.,,,,,,,,
"Pyle, Katharine, 1863-1938",,Tales of Folk and Fairies,English,PZ: Language and Literatures: Juvenile belles lettres,Folklore,Text,25913,"Jun 27, 2008",Public domain in the USA.,130 downloads in the last 30 days.,$0.00,,,,,,,,,"The Meester Stoorworm, A Story from Scotland -- Jean Malin and the Bull-man, A Louisiana Tale -- The Widow's Son, A Scandinavian Tale -- The Wise Girl, A Serbian Story -- The History of Ali Cogia, From the Arabian Nights -- Oh! A Cossack Story -- The Talking Eggs, A Story from Louisiana -- The Frog Princess, A Russian Story -- The Magic Turban, the Magic Sword and the Magic Carpet, A Persian Story -- The Three Silver Citrons, A Persian Story -- The Magic Pipe, A Norse Tale -- The Triumph of Truth, A Hindu Story -- Life's Secret, A Story of Bengal -- Dame Pridgett and the Fairies.",,,,,,,,
"Craik, Dinah Maria Mulock, 1826-1887",,The Fairy BookThe Best Popular Stories Selected and Rendered Anew,English,PZ: Language and Literatures: Juvenile belles lettres,Folklore,Text,19734,"Nov 7, 2006",Public domain in the USA.,122 downloads in the last 30 days.,$0.00,,,,,,,,,"The sleeping beauty in the wood -- Hop-O'-My-Thumb -- Cinderella; or, the little glass slipper -- Adventures of John Dietrich -- Beauty and the Beast -- Little One Eye, Little Two Eyes, and Little Three Eyes -- Jack the giant-killer -- Tom Thumb -- Rumpelstilzchen -- Fortunatus -- The Bremen Town Musicians -- Riquet with the tuft -- House Island -- Snow-White and Rose-Red -- Jack and the bean-stalk -- Graciosa and Percinet -- The iron stove -- The invisible prince -- The woodcutter's daughter -- Brother and sister -- Little Red-Riding-Hood -- Puss in Boots -- The wolf and the seven young goslings -- The fair one with golden looks -- The butterfly -- The frog-prince -- The white cat -- Prince Cherry -- Little Snowdrop -- The blue bird -- The yellow dwarf -- The six swans -- The prince with the nose -- The hind of the forest -- The juniper tree -- Clever Alice.",,,,,,,,
"Lang, Andrew, 1844-1912",,Custom and Myth,English,"BL: Philosophy, Psychology, Religion: Religion: General, Miscellaneous and Atheism",Manners and customs,Text,14080,"Nov 17, 2004",Public domain in the USA.,116 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Lang, Andrew, 1844-1912",,The Lilac Fairy Book,English,PZ: Language and Literatures: Juvenile belles lettres,Folklore,Text,3454,"Oct 1, 2002",Public domain in the USA.,116 downloads in the last 30 days.,$0.00,,,,,,,,,The Shifty Lad -- The False Prince and the True -- The Jogi's Punishment -- The Heart of a Monkey -- The Fairy Nurse -- A Lost Paradise -- How Brave Walter Hunted Wolves -- The Ring of the Waterfalls -- A French Puck -- The Three Crowns -- The Story of a Very Bad Boy -- The Brown Bear of Norway -- Little Lasse -- 'Moti' -- The Enchanted Deer -- A Fish Story -- The Wonderful Tune -- The Rich Brother and the Poor Brother -- The One-Handed Girl -- The Bones of Djulung -- The Sea Ring's Gift -- The Raspberry Worm -- The Stones of Plouhinec -- The Castle of Kerglas -- The Battle of the Birds -- The Lady of the Fountain -- The Four Gifts -- The Groac'h of the Isle of Lok -- The Escape of the Mouse -- The Believing Husbands -- The Hoodie-Crow -- The Brownie of the Lake -- The Winning of Olwen.,,,,,,,,
"Hartland, Edwin Sidney, 1848-1927",,The Science of Fairy TalesAn Inquiry into Fairy  Mythology,English,"GR: Geography, Anthropology, Recreation: Folklore",Folklore,Text,24614,"Feb 14, 2008",Public domain in the USA.,109 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Baum, L. Frank (Lyman Frank), 1856-1919",,Mother Goose in Prose,English,PZ: Language and Literatures: Juvenile belles lettres,Nursery rhymes -- Adaptations,Sound,21150,"Apr 24, 2007",Public domain in the USA.,106 downloads in the last 30 days.,$0.00,,,,,,,,,"Sing a song o' sixpence -- The story of Little Boy Blue -- The cat and the fiddle -- The black sheep -- Old King Cole -- Mistress Mary -- The wond'rous wise man -- What Jack Horner did -- The man in the moon -- The jolly miller -- The little man and his little gun -- Hickory dickory dock -- Little Bo-Peep -- The story of Tommy Tucker -- Pussy-cat Mew -- How the beggars came to town -- Tom, the piper's son -- Humpty Dumpty -- The woman who lived in a shoe -- Little Miss Muffet -- Three wise men of Gotham -- Little Bun Rabbit.",,,,,,,,
"Lang, Andrew, 1844-1912",,The Arabian Nights Entertainments,English,PZ: Language and Literatures: Juvenile belles lettres,Fairy tales -- Arab countries,Text,128,"May 1, 1994",Public domain in the USA.,2072 downloads in the last 30 days.,$0.00,,,,,,,,,"The story of the merchant and the genius -- The story of the first old man and of the hind -- The story of the second old man and of the two black dogs -- The story of the fisherman -- The story of the Greek king and the physician Douban -- The story of the husband and the parrot -- The story of the vizir who was punished -- The story of the young king of the black isles -- The story of the three Calenders, sons of kings, and of five ladies of Bagdad -- The story of the first Calender, son of a king -- The story of the second Calender, son of a king -- The story of the envious man, and of him who was envied -- The story of the third Calendar, son of a king -- The seven voyages of Sindbad the sailor -- The little hunchback -- The story of the barber's fifth brother -- The story of the barber's sixth brother -- The adventures of Prince Camaralzaman and the Princess Badoura -- Noureddin and the fair Persian -- Aladdin and the wonderful lamp -- The adventures of Haroun-al-Raschid, caliph of Bagdad -- Story of the blind Baba-Abdalla -- The story of Sidi-Noumann -- Story of Ali Cogia, merchant of Bagdad -- The enchanted horse -- The story of two sisters who were jealous of their younger sister.",,,,,,,,
Unknown,,Aladdin and the Magic Lamp,English,PZ: Language and Literatures: Juvenile belles lettres,Folklore -- Arab countries,Text,57,"Mar 1, 1993",Public domain in the USA.,497 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
Anonymous,"Winter, Milo, 1888-1956",The Arabian Nights Entertainments,English,PZ: Language and Literatures: Juvenile belles lettres,Folklore -- Arab countries,Text,19860,"Nov 18, 2006",Public domain in the USA.,456 downloads in the last 30 days.,$0.00,,,,,,,,,"The sultan and his vow -- The story of the merchant and the genie -- The three calenders, sons of kings, and the five ladies of Bagdad -- The story of the three sisters -- The story of Aladdin; or, the wonderful lamp -- The history of Ali Baba, and of the forty robbers killed by one slave -- The story of Sinbad the sailor.",,,,,,,,
Anonymous,"Dulac, Edmund, 1882-1953","Sindbad the Sailor, & Other Stories from the Arabian Nights",English,PZ: Language and Literatures: Juvenile belles lettres,Fairy tales -- Arab countries,Text,47285,"Nov 4, 2014",Public domain in the USA.,315 downloads in the last 30 days.,$0.00,,,,,,,,"Sindbad the Sailor, and Other Stories from the Arabian Nights",,,,,,,,,
Anonymous,,El libro de las mil noches y una noche; t. 1,Spanish,PJ: Language and Literatures: Oriental languages and literatures,Fairy tales -- Arab countries,Text,47287,"Nov 5, 2014",Public domain in the USA.,244 downloads in the last 30 days.,$0.00,,,,,,,"Mardrus, J. C. (Joseph Charles), 1868-1949",,,,,,"Gómez Carrillo, Enrique, 1873-1927",,,,
Unknown,,"Ali Baba, or the Forty Thieves",English,PZ: Language and Literatures: Juvenile belles lettres,Folklore -- Arab countries,Text,37679,"Oct 9, 2011",Public domain in the USA.,136 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
Anonymous,,El libro de las mil noches y una noche; t. 2,Spanish,PJ: Language and Literatures: Oriental languages and literatures,Fairy tales -- Arab countries,Text,47631,"Dec 11, 2014",Public domain in the USA.,79 downloads in the last 30 days.,$0.00,,,,,,,"Mardrus, J. C. (Joseph Charles), 1868-1949",,,,,,,,,,
Anonymous,,El libro de las mil noches y una noche; t. 3,Spanish,PJ: Language and Literatures: Oriental languages and literatures,Fairy tales -- Arab countries,Text,48903,"May 9, 2015",Public domain in the USA.,70 downloads in the last 30 days.,$0.00,,,,,,,"Mardrus, J. C. (Joseph Charles), 1868-1949",,,,,,,,,,
Anonymous,"Westall, Richard, 1765-1836","The Arabian Nights, Volume 3 (of 4)",English,PJ: Language and Literatures: Oriental languages and literatures,Folklore -- Arab countries,Text,44105,"Nov 5, 2013",Public domain in the USA.,39 downloads in the last 30 days.,$0.00,,,,,,,,,"The story of Noureddin and the fair Persian -- The story of Beder, prince of Persia, and Giahaure, princess of Samarcand -- The story of Ganem, son to Abou Ayoub, and known by the surname of Love’s Slave -- The story of Prince Zeyn Alasnam, and the king of the genii -- The story of Codadad and his brothers -- The story of the princess of Deryabar -- The story of the sleeper awakened.",,,,,,,,
Anonymous,,The Arabian Nights Entertainments - Volume 01,English,PJ: Language and Literatures: Oriental languages and literatures,Folklore -- Arab countries,Text,5612,"May 1, 2004",Public domain in the USA.,25 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Spence, Lewis, 1874-1955","Jack, James",The Myths of the North American Indians,English,E011: History: America: America,Indian mythology -- North America,Text,42390,"Mar 22, 2013",Public domain in the USA.,155 downloads in the last 30 days.,$0.00,,,,,,,,,"Divisions, customs, and history of the race -- The mythologies of the North American Indians -- Algonquian myths and legends -- Iroquois myths and legends -- Sioux myths and legends -- Myths and legends of the Pawnees -- Myths And legends of the northern and north-western Indians -- Bibliography -- Glossary and index.",,,,,,,,
"Larned, W. T. (William Trowbridge)","Rae, John, 1882-1963",American Indian Fairy Tales,English,E011: History: America: America,Tales -- North America,Text,45279,"Mar 31, 2014",Public domain in the USA.,133 downloads in the last 30 days.,$0.00,,22005216,,,,,,,,,,,,,,,
"Mathews, Cornelius, 1817-1889","McLenan, John, 1827-1866",The Indian Fairy Book: From the Original Legends,English,"GR: Geography, Anthropology, Recreation: Folklore",Indians of North America -- Folklore,Text,22248,"Aug 5, 2007",Public domain in the USA.,113 downloads in the last 30 days.,$0.00,,,,,,,,,"The Celestial Sisters -- The Boy who Set a Snare for the Sun -- Strong Desire and the Red Sorcerer -- The Wonderful Exploits of Grasshopper -- The Two Jeebi -- Osseo, the Son of the Evening Star -- Gray Eagle and his Five Brothers -- The Toad-Woman -- The Origin of the Robin -- White Feather and the Six Giants -- Sheem, the Forsaken Boy -- The Magic Bundle -- The Red Swan -- The Man with his Leg Tied Up -- The Little Spirit or Boy-Man -- The Enchanted Moccasins -- He of the Little Shell -- Manabozho, the Mischief-Maker -- Leelinau, the Lost Daughter -- The Winter Spirit and his Visitor -- the Fire-Plume -- Weendigoes and the Bone-Dwarf -- The Bird Lover -- Bokwewa the Humpback -- The Crane that Crossed the River -- Wunzh, the Father of Indian Corn.",,,,,,,,
Anonymous,,Folk-Lore and Legends: North American Indian,English,E011: History: America: America,Indians of North America -- Folklore,Text,22072,"Jul 14, 2007",Public domain in the USA.,94 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Schoolcraft, Henry Rowe, 1793-1864",,"The Myth of Hiawatha, and Other Oral Legends, Mythologic and Allegoric, of the North American Indians",English,E011: History: America: America,Algonquian Indians -- Folklore,Text,21620,"May 27, 2007",Public domain in the USA.,71 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
